siteid,fluxnetid,keyid,sitename,countryid,land_unit,status,latitude,longitude,year_began,network1,network2,network3,koeppen_climate,gtopo30_elevation,igbp_land_use,umd_land_cover,lai_fpar,npp_land_cover,plant_functional_type,network1_id
9,AR-Lac,ar.laciguena.01,La Ciguena Santa Fe,Argentina,South America,Active,-29.264,-61.028,2004,Unaffiliated,(null),(null),Cfa - Warm temperate fully humid with hot summer,53,Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,19
12,AT-Lan,at.langenfeld.01,Langenfeld,Austria,Europe,Inactive,47.061221,10.963454,2005,European Unaffiliated,(null),(null),ET - Polar tundra,1396,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,40
13,AT-Leu,at.leutasch.01,Leutasch,Austria,Europe,Inactive,47.378036,11.16278,2005,European Unaffiliated,(null),(null),Dfc - Snow fully humid cool summer,1133,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,40
14,AT-Neu,at.neustift.01,Neustift/Stubai Valley,Austria,Europe,Active,47.1166687,11.31750011,2002,CarboExtreme (EU-FP7),Carbomont (EU-FP5),Carbomont (EU-FP5),Dfc - Snow fully humid cool summer,1095,Mixed Forests,Mixed Forests,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,35
15,AT-Sch,at.schlitters.01,Schlitters,Austria,Europe,Inactive,47.387291,11.247935,2005,European Unaffiliated,(null),(null),Dfc - Snow fully humid cool summer,586,Cropland/Natural Vegetation Mosaic,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,40
17,AU-Cas,au.cairns_sugarcane.01,Burdekin Delta,Australia,Australia/Oceania,Active,-19.56666667,147.4,2000,OzFlux,(null),(null),Aw - Equatorial savannah with dry winter,5,Urban and Built-Up,Urban and Built-Up,Urban,Urban,Urban and built up,18
29,AU-Ctr,au.daintree.01,Cape Tribulation,Australia,Australia/Oceania,Active,-16.10328,145.446858,2012,OzFlux,(null),(null),Am - Equatorial monsoon,66,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,18
30,AU-DaP,au.daly_cleared.01,Daly River Pasture,Australia,Australia/Oceania,Active,-14.0633,131.3181,2008,OzFlux,(null),(null),Aw - Equatorial savannah with dry winter,102,Savannas,Savannas,Savannah,Annual Grass Vegetation,Grass,18
31,AU-DaS,au.daly_savanna.01,Daly River Savanna,Australia,Australia/Oceania,Active,-14.159283,131.388,2007,OzFlux,(null),(null),Aw - Equatorial savannah with dry winter,98,Savannas,Savannas,Savannah,Annual Grass Vegetation,Grass,18
34,AU-Fac,au.falls_creek.01,Falls Creek,Australia,Australia/Oceania,Inactive,-36.86686667,147.3457667,2006,OzFlux,(null),(null),Cfb - Warm temperate fully humid with warm summer,1473,Closed Shrublands,Closed Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,18
35,AU-Fog,au.fogg_dam.01,Fogg Dam,Australia,Australia/Oceania,Active,-12.5452,131.3072,2006,OzFlux,(null),(null),Aw - Equatorial savannah with dry winter,25,Savannas,Savannas,Savannah,Annual Grass Vegetation,Grass,18
37,AU-How,au.howardsprings.01,Howard Springs,Australia,Australia/Oceania,Active,-12.4952,131.15005,2001,OzFlux,(null),(null),Aw - Equatorial savannah with dry winter,41,Savannas,Savannas,Savannah,Deciduous Broadleaf Vegetation,Grass,18
38,AU-Jan,au.janina.01,Janina,Australia,Australia/Oceania,Inactive,-30.07666667,144.1363889,2000,Unaffiliated,(null),(null),BWh - Arid desert hot,87,Open Shrublands,Open Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,19
40,AU-Meb,au.melbourne.01,Melbourne (Preston),Australia,Australia/Oceania,Active,-37.730564,145.014675,2003,OzFlux,(null),(null),Cfb - Warm temperate fully humid with warm summer,107,Urban and Built-Up,Urban and Built-Up,Urban,Urban,Urban and built up,18
41,AU-Otw,au.otway.01,Otway,Australia,Australia/Oceania,Active,-38.53234444,142.8168056,2007,OzFlux,(null),(null),Cfb - Warm temperate fully humid with warm summer,6,Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,18
43,AU-Tum,au.tumbarumba.01,Tumbarumba,Australia,Australia/Oceania,Active,-35.6566,148.1516,2001,OzFlux,(null),(null),Cfb - Warm temperate fully humid with warm summer,932,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,18
45,AU-Vir,au.virginiapark.01,Virginia Park,Australia,Australia/Oceania,Inactive,-19.88333333,146.5538889,2001,OzFlux,(null),(null),Aw - Equatorial savannah with dry winter,305,Savannas,Savannas,Savannah,Annual Grass Vegetation,Grass,18
46,AU-Wac,au.wallaby_creek.01,Wallaby Creek,Australia,Australia/Oceania,Inactive,-37.429,145.18725,2005,OzFlux,(null),(null),Cfb - Warm temperate fully humid with warm summer,562,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,18
47,BE-Bra,be.braschaat.01,Brasschaat (De Inslag Forest),Belgium,Europe,Active,51.30916667,4.520555556,1996,CarboExtreme (EU-FP7),CarboEurope-IP (EU-FP6),CarboEuroFlux (EU-FP5),Cfb - Warm temperate fully humid with warm summer,15,Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,35
48,BE-Jal,be.jalhay.01,Jalhay,Belgium,Europe,Active,50.56388889,6.073333333,2006,CarboEurope-IP (EU-FP6),(null),(null),Cfb - Warm temperate fully humid with warm summer,496,Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,7
49,BE-Lon,be.lonzee.01,Lonzee,Belgium,Europe,Active,50.551586,4.7461305,2004,IMECC (EU-FP6),CarboEurope-IP (EU-FP6),(null),Cfb - Warm temperate fully humid with warm summer,165,Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,32
51,BE-Vie,be.vielsalm.01,Vielsalm,Belgium,Europe,Active,50.305068,5.998052,1996,IMECC (EU-FP6),CarboEurope-IP (EU-FP6),CarboEuroFlux (EU-FP5),Cfb - Warm temperate fully humid with warm summer,491,Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,32
56,BR-Afs,br.atlantic_forest.01,Atlantic Forest Sao Paulo,Brazil,South America,Active,-23.32847222,-45.09311111,2006,Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,975,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,19
58,BR-Ban,br.bananal_island.01,Ecotone Bananal Island,Brazil,South America,Active,-9.824416667,-50.15911111,2003,Unaffiliated,(null),(null),Aw - Equatorial savannah with dry winter,163,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,19
60,BR-Bra,br.braganca.01,Braganca (Para),Brazil,South America,Active,-0.723708333,-48.50809722,2000,Unaffiliated,LBA,(null),Am - Equatorial monsoon,2,Cropland/Natural Vegetation Mosaic,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,19
63,BR-Cax,br.caxiuana.01,Caxiuana Forest-Almeirim,Brazil,South America,Active,-1.719719444,-51.45898333,1999,Unaffiliated,LBA,(null),"Af - Equatorial rainforest, fully humid",1,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,19
343,CN-Du1,cn.duolun_cropland.01,Duolun-cropland,China,Asia,Active,42.04555556,116.6713889,2005,AsiaFlux,(null),(null),Dwb - Snow dry winter warm summer,1278,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,2
69,BR-Euc,br.eucaliptus.01,Eucaliptus Sao Paulo,Brazil,South America,Active,-21.5835,-47.60230556,2006,Unaffiliated,(null),(null),Aw - Equatorial savannah with dry winter,669,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,19
71,BR-Ji1,br.jiparana_pasture.01,Rond.- Faz. Nossa Senhora-Ji Parana-pasture,Brazil,South America,Active,-10.76180556,-62.35722222,1999,Unaffiliated,LBA,(null),Aw - Equatorial savannah with dry winter,290,Savannas,Savannas,Savannah,Annual Grass Vegetation,Grass,19
72,BR-Ji2,br.jiparana_towera.01,Rond.- Rebio Jaru Ji Parana- Tower A,Brazil,South America,Active,-10.08319444,-61.93090278,1999,Unaffiliated,AERONET,LBA,Aw - Equatorial savannah with dry winter,195,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,19
73,BR-Ji3,br.jiparana_towerb.02,Rond.- Rebio Jaru Ji Parana- Tower B,Brazil,South America,Active,-10.07805556,-61.93309722,1999,Unaffiliated,LBA,(null),Aw - Equatorial savannah with dry winter,196,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,19
75,BR-Ma1,br.manaus_zf2km14.01,Manaus - ZF2 C14,Brazil,South America,Active,-2.589202778,-60.11490278,1999,Unaffiliated,LBA,(null),"Af - Equatorial rainforest, fully humid",91,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,19
76,BR-Ma2,br.manaus_zf2km34.01,Manaus - ZF2 K34,Brazil,South America,Active,-2.609097222,-60.20929722,1999,Unaffiliated,LBA,(null),"Af - Equatorial rainforest, fully humid",67,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,19
77,BR-Mtg,br.matogrosso_sinop.01,Sinop- Mato Grosso,Brazil,South America,Active,-11.41229167,-55.32470278,1999,Unaffiliated,LBA,(null),Aw - Equatorial savannah with dry winter,280,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,19
79,BR-Res,br.reserva_ecologica.01,Brasilia-Reserva Ecol  Aguas Emendadas,Brazil,South America,Active,-15.55,-47.6,1999,Unaffiliated,AERONET,LBA,Aw - Equatorial savannah with dry winter,1056,Woody Savannas,Woody Savannas,Savannah,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,19
81,BR-Pan,br.sanchez.01,Pandeiros,Brazil,South America,Active,-14.84827778,-43.98797222,2005,Unaffiliated,(null),(null),Aw - Equatorial savannah with dry winter,465,Woody Savannas,Woody Savannas,Savannah,Deciduous Broadleaf Vegetation,Grass,19
83,BR-Sa1,br.santarem_forest.01,Santarem-Km67-Primary Forest,Brazil,South America,Active,-2.856666667,-54.95888889,2001,AmeriFlux,AERONET,LBA,Am - Equatorial monsoon,90,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,1
84,BR-Sa2,br.santarem_km77_pasture.01,Santarem-Km77-Pasture,Brazil,South America,Inactive,-3.0118955,-54.53652,1999,Unaffiliated,LBA,(null),Am - Equatorial monsoon,37,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,19
85,BR-Sa3,br.santarem_km83_loggedforest.01,Santarem-Km83-Logged Forest,Brazil,South America,Inactive,-3.01802927,-54.97143509,2000,AmeriFlux,LBA,(null),Am - Equatorial monsoon,100,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,1
88,BR-Sga,br.saogabriel.01,Sao Gabriel da Cachoeira,Brazil,South America,Active,0.212333333,-66.76473333,2004,Unaffiliated,LBA,(null),"Af - Equatorial rainforest, fully humid",104,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,19
89,BR-Sp1,br.saopaulo_savannah.01,Sao Paulo Cerrado,Brazil,South America,Active,-21.61947222,-47.64988889,1998,Unaffiliated,(null),(null),Aw - Equatorial savannah with dry winter,641,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,19
90,BR-Sp2,br.saopaulo_sugarcane.01,Sao Paulo Sugar Cane,Brazil,South America,Active,-21.63705556,-47.79025,1996,Unaffiliated,(null),(null),Aw - Equatorial savannah with dry winter,587,Woody Savannas,Woody Savannas,Savannah,Evergreen Broadleaf Vegetation,Shrub,19
91,BR-Su1,br.sujo_bienal.01,Brasilia - Campo Sujo Bienal Tardia,Brazil,South America,Active,-15.95,-47.86666667,1999,Unaffiliated,LBA,(null),Aw - Equatorial savannah with dry winter,1096,Woody Savannas,Woody Savannas,Savannah,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,19
92,BR-Su2,br.sujo_quadrienal.01,Brasilia - Campo Sujo Quadrienal,Brazil,South America,Active,-15.95,-47.86666667,1999,Unaffiliated,(null),(null),Aw - Equatorial savannah with dry winter,1096,Woody Savannas,Woody Savannas,Savannah,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,19
93,BW-Ghz,bw.ghanzi.01,Ghanzi/Okwa River Crossing,Botswana,Africa,Inactive,-22.40916667,21.71305556,2002,European Unaffiliated,(null),(null),BSh - Arid Steppe hot,1073,Open Shrublands,Open Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,40
94,BW-Ma1,bw.maun.01,Maun- Mopane Woodland,Botswana,Africa,Active,-19.9165,23.56033333,1999,CarboAfrica (EU-FP6),(null),(null),BSh - Arid Steppe hot,(null),Savannas,Savannas,Savannah,Annual Grass Vegetation,Grass,4
95,BW-Ma2,bw.maun.02,Maun- Floodplain,Botswana,Africa,Inactive,-19.60759167,23.28693056,(null),AERONET,(null),(null),BSh - Arid Steppe hot,(null),Permanent Wetlands,Savannas,Savannah,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,26
118,ON-JMW,(null),Ontario Juvenile Mixedwood,Canada,North America,Active,48.133,-81.628,2006,Canadian Carbon Program (CCP),(null),(null),(null),(null),(null),(null),(null),(null),(null),3
119,CA-Cbo,ca.camp_borden.01,ON-Borden Mixedwood,Canada,North America,Active,44.3185,-79.9342,1995,Canadian Carbon Program (CCP),(null),(null),Dfb - Snow fully humid warm summer,217,Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,3
120,CA-Ca1,ca.campbell_river.01,BC-Campbell River 1949 Douglas-fir,Canada,North America,Active,49.86725,-125.3336,1997,Canadian Carbon Program (CCP),(null),(null),"Csb - Warm temperate with dry, warm summer",313,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
121,CA-Ca2,ca.campbell_river_cut.01,BC-Campbell River 2000 Douglas-fir,Canada,North America,Active,49.87048,-125.29087,2000,Canadian Carbon Program (CCP),(null),(null),"Csb - Warm temperate with dry, warm summer",170,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
122,CA-Ca3,ca.campbell_river_yng.01,BC-Campbell River 1988 Douglas-fir,Canada,North America,Active,49.53462,-124.90044,2001,Canadian Carbon Program (CCP),(null),(null),Cfb - Warm temperate fully humid with warm summer,153,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
125,CA-Cha,ca.charlie1.01,NB-Charlie Lake 1 1975 Balsam Fir,Canada,North America,Inactive,45.8847,-67.3569,2003,Canadian Carbon Program (CCP),(null),(null),Dfb - Snow fully humid warm summer,150,Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
214,US-KFS,(null),Kansas Field Station,United States,North America,Active,39.0561,-95.1907,2007,AmeriFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,(null),Cropland/Natural Vegetation Mosaic,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,1
227,CA-Gro,ca.groundhogriver.01,ON-Groundhog River Mixedwood,Canada,North America,Active,48.2173,-82.1555,2003,Canadian Carbon Program (CCP),(null),(null),Dfb - Snow fully humid warm summer,355,Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
233,CA-Let,ca.lethbridge.01,AB-Lethbridge Grassland,Canada,North America,Active,49.70919,-112.94025,1998,Canadian Carbon Program (CCP),(null),(null),Dfb - Snow fully humid warm summer,926,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,3
234,CA-Man,ca.manitoba.01,MB-Northern Old Black Spruce,Canada,North America,Inactive,55.88,-98.481,1994,Canadian Carbon Program (CCP),MARCONI,(null),Dfc - Snow fully humid cool summer,253,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
235,CA-Mer,ca.mer_bleue.01,ON-Mer Bleue Eastern Peatland,Canada,North America,Active,45.4094,-75.5187,1998,Canadian Carbon Program (CCP),(null),(null),Dfb - Snow fully humid warm summer,65,Permanent Wetlands,Closed Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,3
239,CA-Na1,ca.nashwaak1.01,NB-Nashwaak Lake 1 1967 Balsam Fir,Canada,North America,Inactive,46.47384,-67.09933,2003,Canadian Carbon Program (CCP),(null),(null),Dfb - Snow fully humid warm summer,325,Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,3
240,CA-Na2,ca.nashwaak2.01,NB-Nashwaak Lake 2 1975 Balsam Fir,Canada,North America,Inactive,46.47583333,-67.07694444,2003,Canadian Carbon Program (CCP),(null),(null),Dfb - Snow fully humid warm summer,338,Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
244,CA-NS1,ca.nsa_burn_1850.01,UCI 1850,Canada,North America,Inactive,55.87916667,-98.48388889,2000,AmeriFlux,(null),(null),Dfc - Snow fully humid cool summer,253,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
245,CA-NS2,ca.nsa_burn_1930.01,UCI 1930,Canada,North America,Inactive,55.90583333,-98.52472222,2000,AmeriFlux,(null),(null),Dfc - Snow fully humid cool summer,257,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
246,CA-NS3,ca.nsa_burn_1964.01,UCI 1964,Canada,North America,Inactive,55.91166667,-98.38222222,2000,AmeriFlux,(null),(null),Dfc - Snow fully humid cool summer,257,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
247,CA-NS4,ca.nsa_burn_1964_wet.01,UCI 1964wet,Canada,North America,Inactive,55.91166667,-98.38222222,2001,AmeriFlux,(null),(null),Dfc - Snow fully humid cool summer,257,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
248,CA-NS5,ca.nsa_burn_1981.01,UCI 1981,Canada,North America,Inactive,55.86305556,-98.485,2000,AmeriFlux,(null),(null),Dfc - Snow fully humid cool summer,254,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
249,CA-NS6,ca.nsa_burn_1989.01,UCI 1989,Canada,North America,Inactive,55.91666667,-98.96444444,2000,AmeriFlux,(null),(null),Dfc - Snow fully humid cool summer,245,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
250,CA-NS7,ca.nsa_burn_1998.01,UCI 1998,Canada,North America,Inactive,56.63583333,-99.94833333,1999,AmeriFlux,(null),(null),Dfc - Snow fully humid cool summer,291,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
251,CA-NS8,ca.nsa_burn_2003.01,UCI 2003,Canada,North America,Inactive,55.89805556,-98.21611111,2001,AmeriFlux,(null),(null),Dfc - Snow fully humid cool summer,276,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
258,CA-Oas,ca.oldaspen.01,SK-Old Aspen,Canada,North America,Active,53.62889,-106.19779,1996,Canadian Carbon Program (CCP),BERMS,(null),Dfc - Snow fully humid cool summer,580,Mixed Forests,Mixed Forests,Deciduous Needleleaf Forest,Deciduous Needleleaf Vegetation,Deciduous Needleleaf Trees,3
259,CA-Obs,ca.oldblackspruce.01,SK-Southern Old Black Spruce,Canada,North America,Active,53.98717,-105.11779,1994,Canadian Carbon Program (CCP),BERMS,(null),Dfc - Snow fully humid cool summer,598,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
260,CA-Ojp,ca.oldjackpine.01,SK-Old Jack Pine,Canada,North America,Active,53.91634,-104.69203,1994,Canadian Carbon Program (CCP),BERMS,MARCONI,Dfc - Snow fully humid cool summer,518,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
268,CA-Qcu,ca.quebeccutover.01,QC-2000 Harvested Black Spruce/Jack Pine (HBS00),Canada,North America,Active,49.26708,-74.03653,2001,Canadian Carbon Program (CCP),(null),(null),Dfc - Snow fully humid cool summer,412,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
269,CA-Qfo,ca.quebecforest.01,QC-Eastern Old Black Spruce (EOBS),Canada,North America,Active,49.69247,-74.34204,2003,Canadian Carbon Program (CCP),(null),(null),Dfc - Snow fully humid cool summer,390,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
273,CA-SF1,ca.saskfire77.01,SK-1977 Fire,Canada,North America,Inactive,54.48495,-105.81735,2003,BERMS,Canadian Carbon Program (CCP),(null),Dfc - Snow fully humid cool summer,566,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,27
276,CA-Fen,ca.ssa_fen.01,SK-Fen,Canada,North America,Active,53.80206,-104.61798,2002,Canadian Carbon Program (CCP),BERMS,(null),Dfc - Snow fully humid cool summer,494,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
277,CA-SF2,ca.ssa_fire_1989.01,SK-1989 Fire,Canada,North America,Inactive,54.25392,-105.8775,2001,Canadian Carbon Program (CCP),(null),(null),Dfc - Snow fully humid cool summer,511,Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
278,CA-SF3,ca.ssa_fire_1998.01,SK-1998 Fire,Canada,North America,Inactive,54.09156,-106.00526,2002,Canadian Carbon Program (CCP),(null),(null),Dfc - Snow fully humid cool summer,561,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
279,CA-SJ1,ca.ssa_jackpine_1994.01,SK-1994 Jack Pine,Canada,North America,Active,53.9084,-104.6559,2001,Canadian Carbon Program (CCP),BERMS,(null),Dfc - Snow fully humid cool summer,520,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
280,CA-SJ2,ca.ssa_jackpine_2002.01,SK-2002 Jack Pine,Canada,North America,Active,53.9447,-104.6493,2003,Canadian Carbon Program (CCP),BERMS,(null),Dfc - Snow fully humid cool summer,524,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
284,CA-SJ3,ca.ssa_yngjackpine.01,SK-1975 (Young) Jack Pine,Canada,North America,Active,53.87581,-104.64529,2003,Canadian Carbon Program (CCP),BERMS,AERONET,Dfc - Snow fully humid cool summer,495,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
287,CA-TP1,ca.turkeypoint.01,ON-Turkey Point 2002 White Pine,Canada,North America,Active,42.66093611,-80.55951944,2003,Canadian Carbon Program (CCP),(null),(null),Dfb - Snow fully humid warm summer,197,Cropland/Natural Vegetation Mosaic,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,3
288,CA-TP2,ca.turkeypoint15.01,ON-Turkey Point 1989 White Pine,Canada,North America,Inactive,42.77441944,-80.458775,2003,Canadian Carbon Program (CCP),(null),(null),Dfb - Snow fully humid warm summer,239,Cropland/Natural Vegetation Mosaic,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,3
289,CA-TP3,ca.turkeypoint30.01,ON-Turkey Point 1974 White Pine,Canada,North America,Active,42.70681111,-80.34831389,2003,Canadian Carbon Program (CCP),(null),(null),Dfb - Snow fully humid warm summer,216,Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
290,CA-TP4,ca.turkeypoint60.01,ON-Turkey Point 1939 White Pine,Canada,North America,Active,42.70977778,-80.3574,2003,Canadian Carbon Program (CCP),(null),(null),Dfb - Snow fully humid warm summer,219,Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
292,CA-WP1,ca.westernpeatland.01,AB-Western Peatland,Canada,North America,Inactive,54.95384,-112.46698,2003,Canadian Carbon Program (CCP),(null),(null),Dfc - Snow fully humid cool summer,549,Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
