siteid,fluxnetid,keyid,sitename,countryid,land_unit,status,latitude,longitude,year_began,network1,network2,network3,koeppen_climate,gtopo30_elevation,igbp_land_use,umd_land_cover,lai_fpar,npp_land_cover,plant_functional_type,network1_id
781,UK-MoH,uk.moor_house.01,Moor House,United Kingdom,Europe,Active,54.69633333,-2.396383333,2004,Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,600,Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,19
783,UK-PL1,uk.pang.01,Pang/ Lambourne (crop),United Kingdom,Europe,Active,51.53329849,-1.483330011,2004,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,159,Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,40
784,UK-PL2,uk.pang.02,Pang/ Lambourne (grassland),United Kingdom,Europe,Active,51.43330002,-1.233330011,2004,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,78,Cropland/Natural Vegetation Mosaic,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,40
785,UK-PL3,uk.pang.03,Pang/ Lambourne (forest),United Kingdom,Europe,Active,51.45,-1.266666667,2004,CarboEurope-IP (EU-FP6),(null),(null),Cfb - Warm temperate fully humid with warm summer,104,Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,7
786,UK-Pol,uk.polden.01,Polden- Scotland,United Kingdom,Europe,Active,55.28683333,-3.4015,2002,Greengrass (EU-FP5),(null),(null),Cfb - Warm temperate fully humid with warm summer,180,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,13
787,UK-Tad,uk.tadham_moor.01,Tadham Moor,United Kingdom,Europe,Active,51.20709991,-2.828639984,2000,CarboEuroFlux (EU-FP5),(null),(null),Cfb - Warm temperate fully humid with warm summer,28,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,5
798,US-Ivo,us.ak_ivotuk.01,Ivotuk,United States,North America,Inactive,68.48647222,-155.748,2003,AmeriFlux,(null),(null),ET - Polar tundra,557,Open Shrublands,Open Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,1
805,US-NSP,us.ames_prairie.01,Neal Smith Prairie,United States,North America,Active,41.55788056,-93.29618611,2005,Unaffiliated,(null),(null),Dfa - Snow with fully humid hot summer,269,Croplands,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,19
806,US-Br1,us.ames_tl10.01,Brooks Field Site 10,United States,North America,Active,41.69148056,-93.69138611,2001,AmeriFlux,(null),(null),Dfa - Snow with fully humid hot summer,270,Cropland/Natural Vegetation Mosaic,Closed Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,1
807,US-Br2,us.ames_tl1011.01,Brooks Field Site 1011,United States,North America,Active,41.97565278,-93.69251944,2005,AmeriFlux,(null),(null),Dfa - Snow with fully humid hot summer,313,Croplands,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,1
808,US-Br3,us.ames_tl11.01,Brooks Field Site 11,United States,North America,Active,41.97471944,-93.69357222,2001,AmeriFlux,(null),(null),Dfa - Snow with fully humid hot summer,313,Croplands,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,1
810,US-Atq,us.atqasuk.01,Atqasuk,United States,North America,Inactive,70.46961111,-157.4089444,1999,AmeriFlux,MARCONI,(null),ET - Polar tundra,15,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,1
811,US-Aud,us.audubon.01,Audubon Research Ranch,United States,North America,Active,31.5907,-110.5092,2002,AmeriFlux,(null),(null),BSk - Arid Steppe cold,1466,Open Shrublands,Open Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,1
814,US-Wkg,us.az_kendall_grassland.01,Walnut Gulch Kendall Grasslands,United States,North America,Active,31.736527,-109.94188,2003,AmeriFlux,AGRIFLUX,(null),BSk - Arid Steppe cold,1524,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,1
815,US-LSM,us.az_lewissprings_mesquite.01,Lewis Springs Mesquite,United States,North America,Active,31.56584,-110.13438,2001,Unaffiliated,(null),(null),BSk - Arid Steppe cold,1238,Open Shrublands,Open Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,19
816,US-Whs,us.az_luckyhills_shrub.01,Walnut Gulch Lucky Hills Shrubland,United States,North America,Active,31.743833,-110.052222,2003,Unaffiliated,AGRIFLUX,(null),BSk - Arid Steppe cold,1366,Open Shrublands,Open Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,19
818,US-MtB,us.az_mtbigelow.01,Mt Bigelow,United States,North America,Active,32.41666667,-110.7255139,2002,Unaffiliated,(null),(null),BSk - Arid Steppe cold,2446,Woody Savannas,Woody Savannas,Savannah,Evergreen Needleleaf Vegetation,Shrub,19
822,US-Brw,us.barrow.01,Barrow,United States,North America,Active,71.322525,-156.6258806,1993,AmeriFlux,AERONET,MARCONI,ET - Polar tundra,1,Snow and Ice,Barren or Sparsely Vegetated,Unvegetated,Non-Vegetated Land,Snow and Ice,1
823,US-Bar,us.bartlett.01,Bartlett Experimental Forest,United States,North America,Active,44.06463967,-71.28807685,2004,AmeriFlux,(null),(null),Dfb - Snow fully humid warm summer,270,Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,1
825,US-Blk,us.blackhills_sd_ponderosa.01,Black Hills,United States,North America,Inactive,44.158,-103.65,1999,AmeriFlux,(null),(null),Dfb - Snow fully humid warm summer,1743,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
