mysitename,lon,lat,elv,year_start,year_end,years_data,classid,elv_watch,elv_diff,whc
DE-RuR,6.3041,50.6219,515,2011,2014,4,GRA,278,-237,327.4595032
DE-RuS,6.4472,50.8659,103,2011,2014,4,CRO,278,175,367.7955322
DE-Seh,6.4497,50.8706,103,2007,2010,4,CRO,278,175,367.7955322
DE-SfN,11.3275,47.8064,590,2012,2014,3,WET,777,187,244.3797913
DE-Spw,14.0337,51.8923,63,2010,2014,5,WET,81,18,194.3483734
DE-Tha,13.5669,50.9636,380,1996,2014,19,ENF,430,50,295.663147
DK-Fou,9.5872,56.4842,51,2005,2005,1,CRO,51,0,179.309494
DK-NuF,-51.3861,64.1308,50,2008,2014,7,WET,414,364,102.6077728
DK-Sor,11.6446,55.4859,40,1996,2014,19,DBF,26,-14,226.4378052
DK-ZaF,-20.5545,74.4814,38,2008,2011,4,WET,568,530,227.7749176
DK-ZaH,-20.5503,74.4732,38,2000,2014,15,GRA,568,530,241.8818512
ES-LgS,-2.9658,37.0979,2267,2007,2009,3,OSH,1267,-1000,272.3067627
ES-Ln2,-3.4758,36.9695,2249,2009,2009,1,OSH,810,-1439,246.1729889
FI-Hyy,24.295,61.8475,181,1996,2014,19,ENF,138,-43,255.05896
FI-Jok,23.5135,60.8986,109,2000,2003,4,CRO,124,15,302.3960266
FI-Lom,24.2092,67.9972,274,2007,2009,3,WET,288,14,222.6843567
FI-Sod,26.6378,67.3619,180,2001,2014,14,ENF,220,40,197.9191437
FR-Fon,2.7801,48.4764,103,2005,2014,10,DBF,104,1,335.1929016
FR-Gri,1.9519,48.8442,125,2004,2013,10,CRO,132,7,314.9073486
FR-LBr,-0.7693,44.7171,61,1996,2008,13,ENF,42,-19,269.5765686
FR-Pue,3.5958,43.7414,270,2000,2014,15,EBF,209,-61,239.649292
GF-Guy,-52.9249,5.2788,48,2004,2014,11,EBF,21,-27,230.854126
IT-BCi,14.9574,40.5238,20,2004,2014,11,CRO,388,368,296.5398865
IT-CA1,12.0266,42.3804,200,2011,2014,4,DBF,266,66,269.1038208
IT-CA2,12.026,42.3772,200,2011,2014,4,CRO,266,66,269.1038208
IT-CA3,12.0222,42.38,197,2011,2014,4,DBF,266,69,269.1296997
IT-Col,13.5881,41.8494,1560,1996,2014,19,DBF,986,-574,267.9767456
IT-Cp2,12.3573,41.7043,19,2012,2014,3,EBF,35,16,306.132843
IT-Cpz,12.3761,41.7052,68,1997,2009,13,EBF,35,-33,305.0664368
IT-Isp,8.6336,45.8126,210,2013,2014,2,DBF,317,107,320.6810303
IT-La2,11.2853,45.9542,1350,2000,2002,3,ENF,813,-537,237.5950928
IT-Lav,11.2813,45.9562,1353,2003,2014,12,ENF,813,-540,249.7970886
IT-MBo,11.0458,46.0147,1550,2003,2013,11,GRA,1023,-527,264.4438477
IT-Noe,8.1515,40.6061,28,2004,2014,11,CSH,72,44,237.0160522
IT-PT1,9.061,45.2009,60,2002,2004,3,DBF,92,32,317.9853516
IT-Ren,11.4337,46.5869,1730,1998,2013,16,ENF,1705,-25,167.4517212
IT-Ro1,11.93,42.4081,235,2000,2008,9,DBF,124,-111,269.2074585
IT-Ro2,11.9209,42.3903,160,2002,2012,11,DBF,124,-36,273.4582214
IT-SR2,10.291,43.732,12,2013,2014,2,ENF,86,74,286.2259827
IT-SRo,10.2844,43.7279,6,1999,2012,14,ENF,86,80,286.2259827
IT-Tor,7.5781,45.8444,2160,2008,2014,7,GRA,1967,-193,156.7254639
JP-MBF,142.3186,44.3869,296,2003,2005,3,DBF,296,0,214.1848297
JP-SMF,137.0788,35.2617,319,2002,2006,5,MF,319,0,294.9473877
NL-Hor,5.0713,52.2404,2,2004,2011,8,GRA,2,0,335.8494568
