TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_CUT_REF,NEE_VUT_REF,NEE_CUT_REF_QC,NEE_VUT_REF_QC,NEE_CUT_REF_RANDUNC,NEE_VUT_REF_RANDUNC,NEE_CUT_REF_JOINTUNC,NEE_VUT_REF_JOINTUNC,NEE_CUT_USTAR50,NEE_VUT_USTAR50,NEE_CUT_USTAR50_QC,NEE_VUT_USTAR50_QC,NEE_CUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_RANDUNC,NEE_CUT_USTAR50_JOINTUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_CUT_MEAN,NEE_VUT_MEAN,NEE_CUT_MEAN_QC,NEE_VUT_MEAN_QC,NEE_CUT_SE,NEE_VUT_SE,NEE_CUT_05,NEE_CUT_16,NEE_CUT_25,NEE_CUT_50,NEE_CUT_75,NEE_CUT_84,NEE_CUT_95,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_CUT_05_QC,NEE_CUT_16_QC,NEE_CUT_25_QC,NEE_CUT_50_QC,NEE_CUT_75_QC,NEE_CUT_84_QC,NEE_CUT_95_QC,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_CUT_REF_NIGHT,NEE_VUT_REF_NIGHT,NEE_CUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_SD,NEE_CUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_QC,NEE_CUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_CUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_CUT_REF_DAY,NEE_VUT_REF_DAY,NEE_CUT_REF_DAY_SD,NEE_VUT_REF_DAY_SD,NEE_CUT_REF_DAY_QC,NEE_VUT_REF_DAY_QC,NEE_CUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_RANDUNC,NEE_CUT_REF_DAY_JOINTUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_CUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT,NEE_CUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_SD,NEE_CUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_QC,NEE_CUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_CUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_CUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY,NEE_CUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_SD,NEE_CUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_QC,NEE_CUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_CUT_USTAR50_DAY_JOINTUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_CUT_05_NIGHT,NEE_CUT_16_NIGHT,NEE_CUT_25_NIGHT,NEE_CUT_50_NIGHT,NEE_CUT_75_NIGHT,NEE_CUT_84_NIGHT,NEE_CUT_95_NIGHT,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_CUT_05_NIGHT_QC,NEE_CUT_16_NIGHT_QC,NEE_CUT_25_NIGHT_QC,NEE_CUT_50_NIGHT_QC,NEE_CUT_75_NIGHT_QC,NEE_CUT_84_NIGHT_QC,NEE_CUT_95_NIGHT_QC,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_CUT_05_DAY,NEE_CUT_16_DAY,NEE_CUT_25_DAY,NEE_CUT_50_DAY,NEE_CUT_75_DAY,NEE_CUT_84_DAY,NEE_CUT_95_DAY,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_CUT_05_DAY_QC,NEE_CUT_16_DAY_QC,NEE_CUT_25_DAY_QC,NEE_CUT_50_DAY_QC,NEE_CUT_75_DAY_QC,NEE_CUT_84_DAY_QC,NEE_CUT_95_DAY_QC,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,RECO_NT_CUT_REF,RECO_NT_CUT_USTAR50,RECO_NT_CUT_MEAN,RECO_NT_CUT_SE,RECO_NT_CUT_05,RECO_NT_CUT_16,RECO_NT_CUT_25,RECO_NT_CUT_50,RECO_NT_CUT_75,RECO_NT_CUT_84,RECO_NT_CUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,GPP_NT_CUT_REF,GPP_NT_CUT_USTAR50,GPP_NT_CUT_MEAN,GPP_NT_CUT_SE,GPP_NT_CUT_05,GPP_NT_CUT_16,GPP_NT_CUT_25,GPP_NT_CUT_50,GPP_NT_CUT_75,GPP_NT_CUT_84,GPP_NT_CUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,RECO_DT_CUT_REF,RECO_DT_CUT_USTAR50,RECO_DT_CUT_MEAN,RECO_DT_CUT_SE,RECO_DT_CUT_05,RECO_DT_CUT_16,RECO_DT_CUT_25,RECO_DT_CUT_50,RECO_DT_CUT_75,RECO_DT_CUT_84,RECO_DT_CUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,GPP_DT_CUT_REF,GPP_DT_CUT_USTAR50,GPP_DT_CUT_MEAN,GPP_DT_CUT_SE,GPP_DT_CUT_05,GPP_DT_CUT_16,GPP_DT_CUT_25,GPP_DT_CUT_50,GPP_DT_CUT_75,GPP_DT_CUT_84,GPP_DT_CUT_95,RECO_SR,RECO_SR_N
2007,13.734,1,12.102,1.602,1,15.13,2.644,1,13.587,11.969,1.523,14.961,2.412,13.734,1,12.102,1.602,1,15.13,2.644,1,174.848,0.999943,167.962,174.846,0.999943,311.807,1,314.659,311.807,1,335.819,0.999943,335.797,335.819,0.999943,6.524,1,6.061,6.524,1,98.461,98.555,0.999486,744.136,570.2,1,2.561,2.625,0.969463,0.459359526,0.790011416,80.1724976,0.998287671,340.1701765,0.993892694,130.8927208,0.993892694,23.33363219,0.999885845,381.4412163,1,391.101,0.999087,13.345,-9999,1,-9999,-0.607879,1,39.9468,0.998858,52.4055,0.149593,22.0657,0.997203,28.9476,0.202755,0.995434,1,22.9041,25.0849,-373.519,-375.847,0.953425,0.95508,3.33009,3.33048,24.4298,23.751,-381.57,-379.913,0.95742,0.955251,3.37137,3.35583,24.4354,23.7546,-377.63,-375.026,0.940544,0.936772,3.37802,3.33859,-410.602,-399.915,-396.263,-383.477,-358.498,-351.511,-341.962,-401.392,-398.251,-393.981,-381.377,-358.547,-351.219,-341.914,0.974315,0.965011,0.963756,0.958219,0.930651,0.913813,0.894007,0.967979,0.966724,0.963356,0.956164,0.865411,0.916952,0.893493,2.76846,2.76135,0.507463,0.511855,0.967921,0.968582,0.00878525,0.00879839,0.0501427,0.0513855,-4.20949,-4.21567,3.97708,3.97518,0.938891,0.941521,0.0147901,0.0147791,0.0744418,0.0855534,2.74169,2.74803,0.524456,0.528982,0.967576,0.965432,0.0089504,0.00890918,0.0501719,0.0514046,-4.22394,-4.22021,3.98319,3.97908,0.948373,0.945685,0.0149386,0.0148698,0.0744715,0.0855691,2.63072,2.66273,2.66954,2.72082,2.75126,2.76147,2.76849,2.65852,2.66327,2.68159,2.72759,2.75895,2.76452,2.77053,0.982385,0.977899,0.97686,0.969323,0.946195,0.969015,0.932479,0.978835,0.977899,0.811558,0.969486,0.938806,0.894795,0.92948,-4.26373,-4.24546,-4.23929,-4.22207,-4.11719,-4.09954,-4.01944,-4.25215,-4.24263,-4.2364,-4.22358,-4.11396,-4.0741,-4.00911,0.960394,0.955816,0.954897,0.952496,0.913049,0.893028,0.857884,0.958992,0.955519,0.954919,0.952602,0.912588,0.887909,0.840635,1093.52,1095.57,1092.33,2.53397,1069.5,1074.6,1076.95,1092.77,1100.16,1114.92,1118.92,1092.99,1094.06,1090.39,3.00469,1060.63,1072.24,1074.76,1086.89,1101.39,1115.73,1119.85,1471.48,1475.48,1467.36,2.12227,1436.22,1461.66,1468.71,1470.91,1473.42,1475,1476.12,1471.47,1475.63,1468.02,1.98207,1431.12,1461.26,1468.72,1471.36,1473.75,1474.57,1479.56,1033.04,1053.1,1071.23,8.66299,1014.89,1033.06,1035.7,1057.22,1066.78,1107.82,1215.19,1041.31,1063.51,1068.69,7.39139,1017.55,1031.28,1038.8,1061.58,1071.09,1096.44,1172.95,1468.13,1473.66,1472.5,5.00906,1397.71,1465.8,1468.34,1474.24,1481.16,1484.38,1512.28,1479.97,1478.57,1473.36,2.84024,1442.96,1461.3,1465.54,1473.21,1480.71,1485.63,1499.19,-9999,-9999
2008,13.362,1,11.944,1.637,1,14.535,2.581,1,13.394,11.834,1.493,14.703,2.308,13.362,1,11.944,1.637,1,14.535,2.581,1,164.2,0.998577,162.28,164.175,0.998577,315.445,1,316.649,315.445,1,331.854,0.998577,337.96,331.835,0.998577,6.161,1,6.038,6.161,1,98.339,98.388,0.999658,1208.221,1127,1,2.485,2.736,0.992088,0.449860736,0.792862022,76.51593606,0.997723133,321.5781584,0.995161658,126.9884928,0.995901639,21.45677622,0.99965847,379.7033549,1,388.355,0.999317,12.779,-9999,1,-9999,-0.434485,1,33.854,0.996642,49.2579,0.143364,19.4898,0.995389,28.3578,0.245958,0.992259,1,22.9208,25.0656,-282.068,-280.648,0.949681,0.949112,3.25163,3.25421,28.6252,27.0443,-292.63,-286.668,0.954178,0.954178,3.30036,3.27153,28.6308,27.0464,-281.596,-276.981,0.942755,0.935771,3.8478,3.94745,-310.573,-305.368,-301.223,-292.835,-261.207,-248.489,-240.9,-305.604,-300.246,-297.658,-287.326,-259.023,-246.55,-241.559,0.973816,0.965961,0.963172,0.95452,0.937898,0.913764,0.89663,0.969376,0.962659,0.95913,0.953893,0.929133,0.911999,0.85115,2.21873,2.21873,0.462521,0.462271,0.957357,0.957357,0.00818761,0.0081893,0.0365657,0.0365874,-3.19517,-3.18925,3.29745,3.29479,0.941871,0.940965,0.0145789,0.0145926,0.101251,0.0927055,2.19337,2.20509,0.472081,0.461135,0.961989,0.963112,0.00826619,0.00821662,0.0365833,0.0365935,-3.2247,-3.20563,3.30572,3.30117,0.944989,0.944469,0.0148191,0.0146785,0.101286,0.092719,2.14616,2.17531,2.18483,2.19853,2.23132,2.24659,2.26811,2.17173,2.18447,2.19033,2.20428,2.23924,2.25579,2.27222,0.974334,0.969245,0.968298,0.964713,0.951838,0.871152,0.929437,0.969665,0.96862,0.963535,0.965152,0.947833,0.860934,0.852353,-3.28156,-3.27125,-3.25848,-3.22645,-3.10208,-3.07086,-3.02228,-3.26992,-3.25407,-3.2487,-3.20505,-3.10271,-3.07097,-3.02498,0.968036,0.960457,0.956234,0.945581,0.917114,0.896733,0.841222,0.960212,0.955279,0.950374,0.944141,0.917402,0.895847,0.842535,952.471,951.717,966.267,4.05051,935.174,940.173,948.586,952.526,988.101,999.984,1011.37,952.52,952.509,962.067,4.28939,924.573,936.468,939.116,951.877,983.122,995.119,1009.32,1246.48,1238.38,1243.25,2.10267,1229.66,1238.38,1239.74,1242.18,1246.14,1255.17,1259.1,1240.46,1245.14,1243.66,1.23137,1226.73,1238.05,1240.27,1242.48,1245.91,1250.22,1259.1,1031.83,1028.26,1062.77,8.40136,977.293,1010.52,1026.49,1047,1106.71,1124.45,1149.67,998.575,1114.39,1042.23,8.19371,979.917,990.358,994.464,1038.63,1057.84,1083.32,1161.62,1250.29,1257.11,1243.56,6.32607,1196.22,1222.97,1228.9,1239.57,1255.79,1271.2,1300.65,1234.34,1285.33,1238.26,4.26703,1203.9,1216,1219.02,1234.4,1257.06,1274.91,1277.44,-9999,-9999
2009,14.164,0.952911,12.422,1.7,0.956936,15.602,2.72,0.950039,14.218,12.536,1.573,15.618,2.499,14.198,0.952911,12.461,1.722,0.956936,15.633,2.719,0.950039,176.411,0.952854,172.965,176.194,0.952854,314.326,0.952911,316.768,314.736,0.952911,339.827,0.952283,338.09,339.498,0.952283,7.151,0.952911,7.54,7.252,0.952911,98.223,98.212,0.949658,775.229,736.737,0.949943,2.459,2.45,0.925342,0.439433261,0.770262557,78.29257294,0.943378995,339.716232,0.940410959,131.6196762,0.941210046,23.76449933,0.945547945,381.8205127,0.945605023,392.58,0.951884,13.404,-9999,0.95274,-9999,-0.24932,0.952911,32.5522,0.951084,44.8722,0.142131,26.8535,0.950913,37.0168,0.234457,0.943151,1,22.9041,25.0712,-292.314,-289.623,0.908447,0.909075,3.44588,3.46446,11.8769,7.31273,-292.058,-292.286,0.915011,0.915354,3.48496,3.48773,11.8883,7.32378,-283.646,-284.699,0.907626,0.909267,2.34539,1.72644,-298.878,-293.221,-291.142,-288.689,-282.502,-270.489,-253.389,-294.717,-292.258,-290.73,-288.365,-286.448,-279.378,-267.068,0.936416,0.90411,0.92363,0.901256,0.898744,0.888756,0.861644,0.919121,0.908219,0.922831,0.906336,0.925285,0.89355,0.885559,2.28843,2.28855,0.508774,0.506515,0.907438,0.906774,0.00845489,0.00844628,0.0257904,0.0263348,-3.39218,-3.37973,3.48112,3.49291,0.906503,0.908018,0.0156007,0.0157099,0.0551776,0.0416776,2.30955,2.30707,0.507241,0.507908,0.916189,0.916308,0.00847298,0.00851054,0.0257963,0.0263555,-3.40698,-3.40627,3.52035,3.51864,0.912525,0.91307,0.0158133,0.0158121,0.0552381,0.0417162,2.27867,2.29038,2.29782,2.31493,2.33756,2.33911,2.34462,2.28458,2.29107,2.29872,2.31691,2.33844,2.34095,2.34585,0.906052,0.910254,0.910896,0.923754,0.933983,0.933899,0.934081,0.907109,0.907077,0.905295,0.904233,0.932771,0.900281,0.934081,-3.44885,-3.42498,-3.42204,-3.40926,-3.36385,-3.31913,-3.24954,-3.42787,-3.4219,-3.4196,-3.41114,-3.36679,-3.34469,-3.31124,0.931766,0.914552,0.921303,0.91307,0.890184,0.867071,0.835035,0.922953,0.915243,0.924588,0.913056,0.896565,0.879491,0.868743,991.853,993.63,1002.08,1.43035,991.853,993.531,995.198,999.706,1006.45,1011.27,1015.75,993.806,994.783,1001.15,1.93164,975.638,993.335,995.45,999.706,1007.15,1012.48,1017.19,1286.31,1285.92,1286.77,0.717917,1278.62,1282.93,1284.46,1287.09,1289.11,1290.76,1292.5,1286.37,1286.84,1284.8,1.34207,1264.85,1274.52,1284.08,1286.66,1288.65,1290.61,1294.42,1029.58,973.761,996.931,9.80864,902.886,939.624,957.094,983.457,1025.38,1040.72,1089.89,1003.28,979.133,1000.64,9.79528,913.394,939.05,952.756,986.449,1037.17,1060.15,1097.15,1234.82,1227.51,1228.74,4.72304,1182.58,1204.69,1208.46,1225.71,1246.04,1258.54,1275.03,1200.05,1228.8,1226.82,4.72346,1179.14,1200.05,1206.76,1222.23,1245.18,1260.74,1274.03,-9999,-9999
2010,12.866,1,11.228,1.578,1,14.198,2.472,1,12.854,11.274,1.509,14.171,2.313,12.866,1,11.228,1.578,1,14.198,2.472,1,168.84,0.978368,165.161,169.663,0.978368,313.048,0.977797,313.774,313.093,0.977797,332.718,0.978368,334.834,332.313,0.978368,6.253,1,6.461,6.253,1,98.081,98.066,0.975685,1016.707,921.612,1,2.525,2.661,0.908048,0.458938875,0.885388128,78.11755919,0.970490868,-9999,-9999,131.8024605,0.973344749,21.17540217,0.973458904,376.2416018,0.973573059,383.974,0.925514,12.438,-9999,1,-9999,-0.067388,0.977968,24.3367,0.925057,36.4653,0.108493,30.382,0.926484,45.5234,0.220901,0.917523,1,22.9068,25.0795,-176.635,-176.688,0.901541,0.901655,3.07877,3.08322,16.2125,14.7313,-174.015,-174.905,0.905651,0.906336,3.15266,3.15272,16.2267,14.746,-169.135,-170.003,0.894027,0.89526,2.79031,2.42485,-185.968,-182.272,-181.551,-176.929,-161.605,-150.437,-131.154,-182.951,-182.137,-181.525,-176.688,-162.045,-153.327,-146.676,0.915925,0.911301,0.913527,0.903139,0.884703,0.872146,0.847203,0.9129,0.911358,0.90879,0.901655,0.88476,0.873402,0.863299,2.4473,2.44817,0.50449,0.505473,0.916491,0.916491,0.00898921,0.00899495,0.0407337,0.0416115,-2.968,-2.96885,3.23885,3.23954,0.885819,0.886073,0.0132103,0.0132335,0.0549648,0.046749,2.45058,2.44829,0.507199,0.510047,0.920099,0.920288,0.0091327,0.00915438,0.0407656,0.0416463,-2.95709,-2.95895,3.25925,3.26284,0.890768,0.891877,0.0135665,0.0135542,0.0550515,0.0468408,2.40487,2.41189,2.42301,2.44494,2.48244,2.49135,2.50097,2.40833,2.41276,2.42327,2.44523,2.48719,2.49401,2.49536,0.922972,0.926048,0.925503,0.918318,0.874815,0.901023,0.894346,0.922972,0.922972,0.925503,0.920601,0.88946,0.901023,0.895727,-2.97491,-2.97107,-2.968,-2.96482,-2.92725,-2.86436,-2.75788,-2.97399,-2.96988,-2.96885,-2.96459,-2.92672,-2.88021,-2.83781,0.900964,0.901853,0.885819,0.897764,0.868069,0.851045,0.82109,0.899122,0.884266,0.886073,0.897829,0.871889,0.853056,0.83907,963.791,964.198,964.37,1.01148,955.374,957.704,959.643,962.787,967.591,971.198,974.637,964.168,964.754,964.029,1.17749,955.429,957.291,958.485,963.026,968.349,970.889,976.963,1136.76,1139.1,1134.37,1.8215,1109.09,1120.59,1132.78,1138.29,1142.16,1143.11,1143.82,1140.12,1138.77,1133.16,2.1471,1104,1113.46,1130.23,1138.37,1141.69,1143.08,1144.56,938.003,993.686,970.45,3.85304,925.994,938.003,942.832,983.075,988.554,990.565,1000.45,1019.33,1012.88,982.741,6.43781,891.984,930.859,947.876,999.135,1013.51,1017.26,1025.64,1163.1,1181.79,1172.6,2.42704,1149.09,1152.92,1157.34,1178.94,1184.14,1185.07,1189.09,1227.21,1210.79,1194.46,4.72132,1114.77,1170.96,1174.35,1205.87,1215.67,1216.21,1227.21,-9999,-9999
2011,14.553,1,12.85,1.673,1,15.97,2.697,1,14.427,12.712,1.612,15.87,2.522,14.553,1,12.85,1.673,1,15.97,2.697,1,172.975,0.999886,170.612,172.946,0.999886,319.109,0.989041,318.104,318.921,0.989041,345.829,0.999886,339.542,345.83,0.999886,6.638,1,6.992,6.638,1,98.501,98.478,0.954909,932.202,1084.638,1,2.309,2.364,0.808961,0.409095843,0.672203196,85.55383818,0.936872146,336.909847,0.977910959,134.9018807,0.938242009,23.02390565,0.939155251,387.6309629,0.930251142,395.377,0.934075,13.729,-9999,0.989384,-9999,0.422322,0.989498,26.5301,0.932763,39.6617,0.111217,28.5136,0.929281,42.6269,0.205671,0.868493,1,21.3781,23.4384,-273.054,-270.55,0.863128,0.861815,3.44922,3.44145,24.0498,25.7903,-282.999,-284.548,0.870434,0.87089,3.50738,3.52403,24.0582,25.8015,-272.884,-272.742,0.853898,0.851421,3.34983,3.60188,-296.825,-293.642,-292.294,-284.288,-259.116,-246.04,-240.255,-297.508,-294.881,-293.169,-285.213,-249.38,-243.762,-240.64,0.88339,0.903368,0.875057,0.870719,0.844463,0.834132,0.818208,0.886301,0.87734,0.878539,0.871233,0.836073,0.783562,0.818151,2.58225,2.58395,0.412728,0.414737,0.862118,0.860996,0.00924912,0.00924593,0.033431,0.0330413,-3.47474,-3.46148,3.48591,3.47753,0.859331,0.858405,0.0152414,0.0152004,0.10925,0.112013,2.5463,2.54767,0.437534,0.438171,0.870081,0.870081,0.00941549,0.00945927,0.0334774,0.0331017,-3.50195,-3.51221,3.4971,3.51066,0.867117,0.868094,0.0154838,0.0155577,0.109284,0.112062,2.51227,2.52832,2.53191,2.54749,2.58827,2.59258,2.61557,2.51028,2.52853,2.52971,2.54631,2.58835,2.59197,2.6123,0.885522,0.873513,0.872885,0.870178,0.849786,0.856309,0.808634,0.885522,0.874088,0.872986,0.870081,0.856309,0.851259,0.835685,-3.54921,-3.54154,-3.53559,-3.50759,-3.39833,-3.32517,-3.28476,-3.54916,-3.54576,-3.54146,-3.51735,-3.34687,-3.32381,-3.26439,0.883789,0.886134,0.872691,0.867692,0.828737,0.81044,0.757204,0.875034,0.877465,0.87844,0.868455,0.818594,0.808212,0.740173,1029.74,1035.85,1023.82,3.08752,994.521,997.368,1004.15,1028.84,1035.16,1039.54,1048.69,1034.15,1034.36,1024.45,3.04884,992.29,1001.35,1006.76,1029.72,1034.79,1036.41,1043.16,1299.37,1320.39,1296.56,1.79234,1278.23,1285.18,1288.72,1294.65,1300.4,1307.95,1318.81,1301.86,1317.36,1297.34,2.09798,1276.17,1281.14,1288.06,1296.56,1302.79,1317.93,1319.42,1098.5,1018.91,1065.81,18.4737,949.904,968.852,970.735,1019.73,1113.63,1232.73,1291.14,1113.74,1027.35,1063.97,15.6222,965.903,969.627,978.637,1022.93,1109.16,1185.6,1245.24,1347.61,1318.8,1335.47,9.25064,1274.66,1291.02,1295.72,1302.67,1371.8,1416.81,1449.27,1303.17,1326.95,1335.18,8.11698,1283.29,1293.13,1297,1319.15,1359.64,1396.02,1427.47,-9999,-9999
2012,14.035,1,12.283,1.591,1,15.519,2.643,1,13.826,12.145,1.612,15.242,2.526,14.035,1,12.283,1.591,1,15.519,2.643,1,172.081,0.999203,171.283,172.135,0.999203,317.436,0.836635,314.079,314.942,0.836635,341.202,0.999203,335.166,341.167,0.999203,6.673,1,7.156,6.673,1,98.387,98.376,0.764515,622.266,777.673,1,2.568,2.893,0.743112,0.427963454,0.63245674,98.40346501,0.758025956,356.8283767,0.929530965,142.1798853,0.755464481,25.24081425,0.759335155,394.857144,0.759562842,393.302,0.838627,13.154,-9999,0.913991,-9999,-3.81051,0.770321,31.0333,0.834187,46.3937,0.161404,24.5589,0.831341,36.7147,0.246428,1,2,19.5383,22.2814,-278.954,-281.183,0.792976,0.793602,4.04329,4.06453,23.0502,24.0584,-284.561,-287.815,0.797473,0.797928,4.0951,4.0997,23.0593,24.0644,-274.597,-274.852,0.783621,0.783461,3.55196,3.64511,-296.127,-294.644,-290.258,-287.033,-266.989,-249.258,-232.196,-297.772,-295.126,-291.408,-285.892,-266.609,-247.701,-228.711,0.814834,0.819558,0.805954,0.800888,0.772712,0.739469,0.711521,0.810394,0.807206,0.806466,0.798327,0.772598,0.757798,0.710098,2.75981,2.75697,0.442687,0.459943,0.806708,0.805854,0.0112511,0.0112866,0.0672284,0.0652997,-3.71602,-3.72457,3.67254,3.67902,0.776267,0.777872,0.0173717,0.0174721,0.0613073,0.0621561,2.72849,2.72707,0.473505,0.474989,0.809856,0.809954,0.0115062,0.011501,0.0672715,0.0653371,-3.71811,-3.73283,3.68706,3.69158,0.781962,0.782876,0.017542,0.0175684,0.0613558,0.0621832,2.68077,2.69681,2.70849,2.73206,2.7971,2.82937,2.91672,2.68123,2.69559,2.70408,2.7289,2.79745,2.82422,2.92385,0.827053,0.818563,0.816649,0.809856,0.79869,0.763491,0.720475,0.821105,0.817731,0.817731,0.809856,0.79869,0.763166,0.720357,-3.74052,-3.73659,-3.73257,-3.72157,-3.66733,-3.619,-3.60097,-3.74035,-3.73645,-3.73192,-3.72412,-3.66668,-3.61715,-3.59793,0.794825,0.796202,0.791032,0.777811,0.75835,0.74786,0.680018,0.794681,0.78833,0.79056,0.792714,0.758014,0.712243,0.698526,1084.32,1085.47,1089.37,6.03195,1047.79,1050.93,1069.87,1084.32,1105.91,1107.81,1115.66,1085.49,1087.77,1089.67,5.95786,1047.88,1052.98,1072.08,1082.9,1099.37,1108.75,1112.43,1355.33,1373.29,1364.23,3.73414,1332.4,1344.39,1348.24,1362.11,1373.58,1376.79,1387.87,1362.34,1372.33,1364.27,3.77976,1324.59,1345.63,1356.26,1363.46,1373.28,1374.78,1388.4,891.571,826.181,915.828,12.1983,843.731,865.276,876.018,886.839,901.87,1006.98,1084.32,878.616,844.235,907.413,11.8756,829.111,849.914,868.2,881.093,898.751,941.478,1088.87,1299.21,1238.01,1294.86,7.64657,1242.29,1254.59,1262.12,1276.21,1303.99,1347.25,1392.16,1283.06,1246.67,1290.01,7.65745,1238.61,1247.41,1260.53,1275.66,1298.32,1317.29,1399.95,-9999,-9999
