id,longitude,latitude,date,Fpar,FparLai_QC,product
2010_08_25,8.36497717843,47.4780738066,2010-08-25,93,32,MODIS/006/MCD15A3H
2010_08_29,8.36497717843,47.4780738066,2010-08-29,92,34,MODIS/006/MCD15A3H
2010_09_02,8.36497717843,47.4780738066,2010-09-02,90,34,MODIS/006/MCD15A3H
2010_09_06,8.36497717843,47.4780738066,2010-09-06,92,32,MODIS/006/MCD15A3H
2010_09_10,8.36497717843,47.4780738066,2010-09-10,89,32,MODIS/006/MCD15A3H
2010_09_14,8.36497717843,47.4780738066,2010-09-14,57,2,MODIS/006/MCD15A3H
2010_09_18,8.36497717843,47.4780738066,2010-09-18,91,32,MODIS/006/MCD15A3H
2010_09_22,8.36497717843,47.4780738066,2010-09-22,90,32,MODIS/006/MCD15A3H
2010_09_26,8.36497717843,47.4780738066,2010-09-26,62,10,MODIS/006/MCD15A3H
2010_09_30,8.36497717843,47.4780738066,2010-09-30,92,34,MODIS/006/MCD15A3H
2010_10_04,8.36497717843,47.4780738066,2010-10-04,87,10,MODIS/006/MCD15A3H
2010_10_08,8.36497717843,47.4780738066,2010-10-08,87,0,MODIS/006/MCD15A3H
2010_10_12,8.36497717843,47.4780738066,2010-10-12,90,34,MODIS/006/MCD15A3H
2010_10_16,8.36497717843,47.4780738066,2010-10-16,2,107,MODIS/006/MCD15A3H
2010_10_20,8.36497717843,47.4780738066,2010-10-20,90,32,MODIS/006/MCD15A3H
2010_10_24,8.36497717843,47.4780738066,2010-10-24,75,2,MODIS/006/MCD15A3H
2010_10_28,8.36497717843,47.4780738066,2010-10-28,64,2,MODIS/006/MCD15A3H
2010_11_01,8.36497717843,47.4780738066,2010-11-01,50,8,MODIS/006/MCD15A3H
2010_11_05,8.36497717843,47.4780738066,2010-11-05,2,105,MODIS/006/MCD15A3H
2010_11_09,8.36497717843,47.4780738066,2010-11-09,46,2,MODIS/006/MCD15A3H
2010_11_13,8.36497717843,47.4780738066,2010-11-13,64,0,MODIS/006/MCD15A3H
2010_11_17,8.36497717843,47.4780738066,2010-11-17,41,10,MODIS/006/MCD15A3H
2010_11_21,8.36497717843,47.4780738066,2010-11-21,1,75,MODIS/006/MCD15A3H
2010_11_25,8.36497717843,47.4780738066,2010-11-25,1,73,MODIS/006/MCD15A3H
2010_11_29,8.36497717843,47.4780738066,2010-11-29,5,73,MODIS/006/MCD15A3H
2010_12_03,8.36497717843,47.4780738066,2010-12-03,0,73,MODIS/006/MCD15A3H
2010_12_07,8.36497717843,47.4780738066,2010-12-07,4,75,MODIS/006/MCD15A3H
2010_12_11,8.36497717843,47.4780738066,2010-12-11,9,67,MODIS/006/MCD15A3H
2010_12_15,8.36497717843,47.4780738066,2010-12-15,1,75,MODIS/006/MCD15A3H
2010_12_19,8.36497717843,47.4780738066,2010-12-19,1,75,MODIS/006/MCD15A3H
2010_12_23,8.36497717843,47.4780738066,2010-12-23,8,65,MODIS/006/MCD15A3H
2010_12_27,8.36497717843,47.4780738066,2010-12-27,5,65,MODIS/006/MCD15A3H
2010_12_31,8.36497717843,47.4780738066,2010-12-31,33,75,MODIS/006/MCD15A3H
2011_01_01,8.36497717843,47.4780738066,2011-01-01,33,75,MODIS/006/MCD15A3H
2011_01_05,8.36497717843,47.4780738066,2011-01-05,24,73,MODIS/006/MCD15A3H
2011_01_09,8.36497717843,47.4780738066,2011-01-09,3,73,MODIS/006/MCD15A3H
2011_01_13,8.36497717843,47.4780738066,2011-01-13,26,16,MODIS/006/MCD15A3H
2011_01_17,8.36497717843,47.4780738066,2011-01-17,46,2,MODIS/006/MCD15A3H
2011_01_21,8.36497717843,47.4780738066,2011-01-21,9,73,MODIS/006/MCD15A3H
2011_01_25,8.36497717843,47.4780738066,2011-01-25,1,107,MODIS/006/MCD15A3H
2011_01_29,8.36497717843,47.4780738066,2011-01-29,9,10,MODIS/006/MCD15A3H
2011_02_02,8.36497717843,47.4780738066,2011-02-02,61,2,MODIS/006/MCD15A3H
2011_02_06,8.36497717843,47.4780738066,2011-02-06,58,0,MODIS/006/MCD15A3H
2011_02_10,8.36497717843,47.4780738066,2011-02-10,59,2,MODIS/006/MCD15A3H
2011_02_14,8.36497717843,47.4780738066,2011-02-14,47,0,MODIS/006/MCD15A3H
2011_02_18,8.36497717843,47.4780738066,2011-02-18,56,2,MODIS/006/MCD15A3H
2011_02_22,8.36497717843,47.4780738066,2011-02-22,52,10,MODIS/006/MCD15A3H
